# Time series at grid cell: 200   1   1
  Time(yrs)                  pH                     H+                     CO2(aq)                Mg++                   Ca++                  
  2.65000E+01                6.09142844352797E+00  -1.15730034826131E-05   3.33015627855432E-05   1.26346408374915E-04   1.90305160415693E-04
  2.70000E+01                6.09120856982264E+00  -1.15661205789203E-05   3.32951133871522E-05   1.26042590643017E-04   1.89850481819485E-04
  2.75000E+01                6.09098782062354E+00  -1.15592345886331E-05   3.32886631659772E-05   1.25771918890260E-04   1.89445475562552E-04
  2.80000E+01                6.09076630018023E+00  -1.15523463436545E-05   3.32822127108647E-05   1.25530444579974E-04   1.89084226633532E-04
  2.85000E+01                6.09054411359547E+00  -1.15454568704437E-05   3.32757628058216E-05   1.25314544691037E-04   1.88761306827374E-04
  2.90000E+01                6.09032135741690E+00  -1.15385671184253E-05   3.32693141771802E-05   1.25120937612639E-04   1.88471798698664E-04
  2.95000E+01                6.09009811541659E+00  -1.15316778413163E-05   3.32628673835789E-05   1.24946688037981E-04   1.88211303035884E-04
  3.00000E+01                6.08987445788837E+00  -1.15247895789153E-05   3.32564227993085E-05   1.24789201799143E-04   1.87975931255342E-04
  3.05000E+01                6.08965044279306E+00  -1.15179026887889E-05   3.32499806438363E-05   1.24646212374469E-04   1.87762285304952E-04
  3.10000E+01                6.08942611757454E+00  -1.15110173932023E-05   3.32435410251479E-05   1.24515761068302E-04   1.87567428074694E-04
  3.15000E+01                6.08920152100125E+00  -1.15041338229607E-05   3.32371039797634E-05   1.24396172797128E-04   1.87388847213139E-04
  3.20000E+01                6.08897668476813E+00  -1.14972520513051E-05   3.32306695034214E-05   1.24286029190607E-04   1.87224414911050E-04
  3.25000E+01                6.08875163479059E+00  -1.14903721172933E-05   3.32242375715237E-05   1.24184140440086E-04   1.87072345798951E-04
  3.30000E+01                6.08852639224090E+00  -1.14834940406726E-05   3.32178081518190E-05   1.24089517053220E-04   1.86931154694572E-04
  3.35000E+01                6.08830097437720E+00  -1.14766178307616E-05   3.32113812113303E-05   1.24001342420304E-04   1.86799615556846E-04
  3.40000E+01                6.08807539522967E+00  -1.14697434914858E-05   3.32049567198422E-05   1.23918946870967E-04   1.86676722663086E-04
  3.45000E+01                6.08784966617423E+00  -1.14628710241054E-05   3.31985346511311E-05   1.23841783699278E-04   1.86561654725691E-04
  3.50000E+01                6.08762379641675E+00  -1.14560004286328E-05   3.31921149833499E-05   1.23769407461956E-04   1.86453742405206E-04
  3.55000E+01                6.08739779341981E+00  -1.14491317045399E-05   3.31856976985043E-05   1.23701454707900E-04   1.86352439457312E-04
