# Time          4.0000E+01
# Units: Mol/g solid
    Distance        Kaol-Na          Kaol-K           Kaol-Ca          Kaol-Mg         
       2.1550E+00       1.8377E-06       1.2392E-07       3.7674E-05       1.8610E-05
       2.1650E+00       1.8375E-06       1.2359E-07       3.7675E-05       1.8610E-05
       2.1750E+00       1.8374E-06       1.2325E-07       3.7675E-05       1.8610E-05
       2.1850E+00       1.8372E-06       1.2291E-07       3.7675E-05       1.8610E-05
       2.1950E+00       1.8370E-06       1.2257E-07       3.7675E-05       1.8610E-05
       2.2050E+00       1.8369E-06       1.2222E-07       3.7675E-05       1.8610E-05
       2.2150E+00       1.8367E-06       1.2187E-07       3.7675E-05       1.8610E-05
       2.2250E+00       1.8365E-06       1.2152E-07       3.7675E-05       1.8610E-05
       2.2350E+00       1.8364E-06       1.2116E-07       3.7676E-05       1.8611E-05
       2.2450E+00       1.8362E-06       1.2080E-07       3.7676E-05       1.8611E-05
       2.2550E+00       1.8360E-06       1.2043E-07       3.7676E-05       1.8611E-05
       2.2650E+00       1.8359E-06       1.2007E-07       3.7676E-05       1.8611E-05
       2.2750E+00       1.8357E-06       1.1970E-07       3.7676E-05       1.8611E-05
       2.2850E+00       1.8355E-06       1.1932E-07       3.7676E-05       1.8611E-05
       2.2950E+00       1.8353E-06       1.1895E-07       3.7677E-05       1.8611E-05
       2.3050E+00       1.8351E-06       1.1857E-07       3.7677E-05       1.8611E-05
       2.3150E+00       1.8349E-06       1.1819E-07       3.7677E-05       1.8611E-05
       2.3250E+00       1.8348E-06       1.1781E-07       3.7677E-05       1.8612E-05
       2.3350E+00       1.8346E-06       1.1742E-07       3.7677E-05       1.8612E-05
       2.3450E+00       1.8344E-06       1.1704E-07       3.7677E-05       1.8612E-05
       2.3550E+00       1.8342E-06       1.1665E-07       3.7678E-05       1.8612E-05
       2.3650E+00       1.8340E-06       1.1626E-07       3.7678E-05       1.8612E-05
       2.3750E+00       1.8338E-06       1.1587E-07       3.7678E-05       1.8612E-05
       2.3850E+00       1.8336E-06       1.1547E-07       3.7678E-05       1.8612E-05
       2.3950E+00       1.8334E-06       1.1508E-07       3.7678E-05       1.8612E-05
       2.4050E+00       1.8332E-06       1.1468E-07       3.7679E-05       1.8613E-05
       2.4150E+00       1.8330E-06       1.1428E-07       3.7679E-05       1.8613E-05
       2.4250E+00       1.8328E-06       1.1389E-07       3.7679E-05       1.8613E-05
       2.4350E+00       1.8326E-06       1.1349E-07       3.7679E-05       1.8613E-05
       2.4450E+00       1.8324E-06       1.1309E-07       3.7679E-05       1.8613E-05
       2.4550E+00       1.8321E-06       1.1269E-07       3.7679E-05       1.8613E-05
       2.4650E+00       1.8319E-06       1.1229E-07       3.7680E-05       1.8613E-05
       2.4750E+00       1.8317E-06       1.1189E-07       3.7680E-05       1.8613E-05
       2.4850E+00       1.8315E-06       1.1149E-07       3.7680E-05       1.8614E-05
       2.4950E+00       1.8313E-06       1.1109E-07       3.7680E-05       1.8614E-05
       2.5050E+00       1.8310E-06       1.1069E-07       3.7680E-05       1.8614E-05
       2.5150E+00       1.8308E-06       1.1029E-07       3.7681E-05       1.8614E-05
       2.5250E+00       1.8306E-06       1.0989E-07       3.7681E-05       1.8614E-05
       2.5350E+00       1.8304E-06       1.0949E-07       3.7681E-05       1.8614E-05
       2.5450E+00       1.8301E-06       1.0909E-07       3.7681E-05       1.8614E-05
       2.5550E+00       1.8299E-06       1.0869E-07       3.7681E-05       1.8614E-05
       2.5650E+00       1.8297E-06       1.0830E-07       3.7681E-05       1.8615E-05
       2.5750E+00       1.8294E-06       1.0790E-07       3.7682E-05       1.8615E-05
       2.5850E+00       1.8292E-06       1.0751E-07       3.7682E-05       1.8615E-05
       2.5950E+00       1.8289E-06       1.0712E-07       3.7682E-05       1.8615E-05
       2.6050E+00       1.8287E-06       1.0673E-07       3.7682E-05       1.8615E-05
       2.6150E+00       1.8285E-06       1.0634E-07       3.7682E-05       1.8615E-05
       2.6250E+00       1.8282E-06       1.0595E-07       3.7683E-05       1.8615E-05
       2.6350E+00       1.8280E-06       1.0557E-07       3.7683E-05       1.8615E-05
       2.6450E+00       1.8277E-06       1.0519E-07       3.7683E-05       1.8616E-05
       2.6550E+00       1.8275E-06       1.0481E-07       3.7683E-05       1.8616E-05
       2.6650E+00       1.8272E-06       1.0443E-07       3.7683E-05       1.8616E-05
       2.6750E+00       1.8269E-06       1.0405E-07       3.7684E-05       1.8616E-05
       2.6850E+00       1.8267E-06       1.0368E-07       3.7684E-05       1.8616E-05
       2.6950E+00       1.8264E-06       1.0331E-07       3.7684E-05       1.8616E-05
       2.7050E+00       1.8261E-06       1.0294E-07       3.7684E-05       1.8616E-05
       2.7150E+00       1.8259E-06       1.0258E-07       3.7684E-05       1.8616E-05
       2.7250E+00       1.8256E-06       1.0222E-07       3.7685E-05       1.8617E-05
       2.7350E+00       1.8253E-06       1.0186E-07       3.7685E-05       1.8617E-05
       2.7450E+00       1.8250E-06       1.0150E-07       3.7685E-05       1.8617E-05
