# Time          1.0000E+01
# Units: Mol/kgw
    Distance           H+               CO2(aq)          Mg++             Ca++             K+               SiO2(aq)         Na+              Al+++            Cl-              NO3-             Tracer       
       6.9500E-01      -1.1762E-05       3.3479E-05       1.3203E-04       1.9882E-04       1.4288E-05       1.7128E-05       7.6892E-04       1.2504E-08       1.0343E-03       2.0000E-04       2.0000E-04
       7.0500E-01      -1.1763E-05       3.3479E-05       1.3230E-04       1.9922E-04       1.4250E-05       1.7128E-05       7.6763E-04       1.2504E-08       1.0343E-03       2.0000E-04       2.0000E-04
       7.1500E-01      -1.1763E-05       3.3480E-05       1.3257E-04       1.9962E-04       1.4215E-05       1.7129E-05       7.6631E-04       1.2504E-08       1.0343E-03       2.0000E-04       2.0000E-04
       7.2500E-01      -1.1763E-05       3.3480E-05       1.3284E-04       2.0003E-04       1.4182E-05       1.7129E-05       7.6498E-04       1.2504E-08       1.0343E-03       2.0000E-04       2.0000E-04
       7.3500E-01      -1.1764E-05       3.3480E-05       1.3312E-04       2.0045E-04       1.4151E-05       1.7129E-05       7.6362E-04       1.2504E-08       1.0343E-03       2.0000E-04       2.0000E-04
       7.4500E-01      -1.1764E-05       3.3481E-05       1.3340E-04       2.0087E-04       1.4123E-05       1.7129E-05       7.6224E-04       1.2504E-08       1.0343E-03       2.0000E-04       2.0000E-04
       7.5500E-01      -1.1764E-05       3.3481E-05       1.3369E-04       2.0130E-04       1.4097E-05       1.7129E-05       7.6084E-04       1.2504E-08       1.0343E-03       2.0000E-04       2.0000E-04
       7.6500E-01      -1.1765E-05       3.3481E-05       1.3397E-04       2.0173E-04       1.4074E-05       1.7130E-05       7.5943E-04       1.2504E-08       1.0343E-03       2.0000E-04       2.0000E-04
       7.7500E-01      -1.1765E-05       3.3481E-05       1.3427E-04       2.0216E-04       1.4053E-05       1.7130E-05       7.5799E-04       1.2504E-08       1.0343E-03       2.0000E-04       2.0000E-04
       7.8500E-01      -1.1765E-05       3.3482E-05       1.3456E-04       2.0261E-04       1.4035E-05       1.7130E-05       7.5653E-04       1.2504E-08       1.0343E-03       2.0000E-04       2.0000E-04
       7.9500E-01      -1.1765E-05       3.3482E-05       1.3486E-04       2.0305E-04       1.4018E-05       1.7130E-05       7.5506E-04       1.2504E-08       1.0343E-03       2.0000E-04       2.0000E-04
       8.0500E-01      -1.1766E-05       3.3482E-05       1.3516E-04       2.0351E-04       1.4004E-05       1.7130E-05       7.5356E-04       1.2504E-08       1.0343E-03       2.0000E-04       2.0000E-04
       8.1500E-01      -1.1766E-05       3.3483E-05       1.3547E-04       2.0396E-04       1.3992E-05       1.7131E-05       7.5205E-04       1.2504E-08       1.0343E-03       2.0000E-04       2.0000E-04
       8.2500E-01      -1.1766E-05       3.3483E-05       1.3577E-04       2.0442E-04       1.3982E-05       1.7131E-05       7.5053E-04       1.2503E-08       1.0343E-03       2.0000E-04       2.0000E-04
       8.3500E-01      -1.1767E-05       3.3483E-05       1.3609E-04       2.0489E-04       1.3974E-05       1.7131E-05       7.4899E-04       1.2503E-08       1.0343E-03       2.0000E-04       2.0000E-04
       8.4500E-01      -1.1767E-05       3.3484E-05       1.3640E-04       2.0536E-04       1.3968E-05       1.7131E-05       7.4743E-04       1.2503E-08       1.0343E-03       2.0000E-04       2.0000E-04
       8.5500E-01      -1.1767E-05       3.3484E-05       1.3671E-04       2.0583E-04       1.3964E-05       1.7131E-05       7.4586E-04       1.2503E-08       1.0343E-03       2.0000E-04       2.0000E-04
