# Time          1.5000E+01
# Units: Mol/g solid
    Distance        Kaol-Na          Kaol-K           Kaol-Ca          Kaol-Mg         
       1.2650E+00       4.9607E-07       7.6192E-09       1.4068E-05       4.7683E-06
       1.2750E+00       4.9376E-07       7.5148E-09       1.4030E-05       4.8081E-06
       1.2850E+00       4.9142E-07       7.4166E-09       1.3992E-05       4.8471E-06
       1.2950E+00       4.8905E-07       7.3245E-09       1.3955E-05       4.8854E-06
       1.3050E+00       4.8666E-07       7.2383E-09       1.3918E-05       4.9230E-06
       1.3150E+00       4.8423E-07       7.1578E-09       1.3883E-05       4.9598E-06
       1.3250E+00       4.8178E-07       7.0828E-09       1.3848E-05       4.9958E-06
       1.3350E+00       4.7930E-07       7.0132E-09       1.3814E-05       5.0312E-06
       1.3450E+00       4.7679E-07       6.9487E-09       1.3781E-05       5.0658E-06
       1.3550E+00       4.7426E-07       6.8892E-09       1.3748E-05       5.0996E-06
       1.3650E+00       4.7170E-07       6.8345E-09       1.3716E-05       5.1328E-06
       1.3750E+00       4.6912E-07       6.7845E-09       1.3685E-05       5.1652E-06
       1.3850E+00       4.6652E-07       6.7389E-09       1.3655E-05       5.1970E-06
       1.3950E+00       4.6389E-07       6.6977E-09       1.3625E-05       5.2280E-06
       1.4050E+00       4.6124E-07       6.6607E-09       1.3596E-05       5.2584E-06
       1.4150E+00       4.5857E-07       6.6277E-09       1.3568E-05       5.2880E-06
       1.4250E+00       4.5587E-07       6.5986E-09       1.3540E-05       5.3170E-06
       1.4350E+00       4.5316E-07       6.5732E-09       1.3513E-05       5.3453E-06
       1.4450E+00       4.5042E-07       6.5515E-09       1.3487E-05       5.3730E-06
       1.4550E+00       4.4767E-07       6.5333E-09       1.3461E-05       5.4000E-06
       1.4650E+00       4.4489E-07       6.5184E-09       1.3436E-05       5.4264E-06
       1.4750E+00       4.4210E-07       6.5069E-09       1.3412E-05       5.4521E-06
       1.4850E+00       4.3930E-07       6.4985E-09       1.3388E-05       5.4772E-06
       1.4950E+00       4.3647E-07       6.4931E-09       1.3365E-05       5.5017E-06
       1.5050E+00       4.3363E-07       6.4907E-09       1.3343E-05       5.5256E-06
       1.5150E+00       4.3078E-07       6.4911E-09       1.3321E-05       5.5489E-06
       1.5250E+00       4.2790E-07       6.4944E-09       1.3300E-05       5.5716E-06
       1.5350E+00       4.2502E-07       6.5003E-09       1.3279E-05       5.5937E-06
       1.5450E+00       4.2212E-07       6.5088E-09       1.3259E-05       5.6153E-06
       1.5550E+00       4.1921E-07       6.5198E-09       1.3239E-05       5.6363E-06
       1.5650E+00       4.1629E-07       6.5333E-09       1.3220E-05       5.6568E-06
       1.5750E+00       4.1336E-07       6.5492E-09       1.3202E-05       5.6768E-06
       1.5850E+00       4.1041E-07       6.5674E-09       1.3184E-05       5.6962E-06
       1.5950E+00       4.0746E-07       6.5878E-09       1.3166E-05       5.7151E-06
       1.6050E+00       4.0450E-07       6.6105E-09       1.3149E-05       5.7335E-06
       1.6150E+00       4.0152E-07       6.6354E-09       1.3133E-05       5.7514E-06
       1.6250E+00       3.9854E-07       6.6623E-09       1.3117E-05       5.7688E-06
       1.6350E+00       3.9556E-07       6.6913E-09       1.3101E-05       5.7858E-06
       1.6450E+00       3.9256E-07       6.7224E-09       1.3086E-05       5.8022E-06
       1.6550E+00       3.8956E-07       6.7554E-09       1.3072E-05       5.8183E-06
       1.6650E+00       3.8655E-07       6.7904E-09       1.3058E-05       5.8338E-06
       1.6750E+00       3.8354E-07       6.8273E-09       1.3044E-05       5.8489E-06
       1.6850E+00       3.8052E-07       6.8661E-09       1.3031E-05       5.8636E-06
       1.6950E+00       3.7750E-07       6.9068E-09       1.3018E-05       5.8779E-06
       1.7050E+00       3.7448E-07       6.9493E-09       1.3006E-05       5.8918E-06
       1.7150E+00       3.7145E-07       6.9936E-09       1.2994E-05       5.9052E-06
       1.7250E+00       3.6842E-07       7.0397E-09       1.2982E-05       5.9183E-06
       1.7350E+00       3.6539E-07       7.0877E-09       1.2971E-05       5.9309E-06
       1.7450E+00       3.6235E-07       7.1373E-09       1.2960E-05       5.9432E-06
       1.7550E+00       3.5932E-07       7.1888E-09       1.2950E-05       5.9551E-06
       1.7650E+00       3.5628E-07       7.2419E-09       1.2940E-05       5.9667E-06
       1.7750E+00       3.5325E-07       7.2968E-09       1.2930E-05       5.9779E-06
       1.7850E+00       3.5022E-07       7.3534E-09       1.2921E-05       5.9888E-06
