# Time          4.0000E+01
# Units: Mol/kgw
    Distance           H+               CO2(aq)          Mg++             Ca++             K+               SiO2(aq)         Na+              Al+++            Cl-              NO3-             Tracer       
       8.5500E-01       7.6810E-06       2.5487E-05       4.1467E-05       2.5876E-04       2.1694E-05       4.8784E-06       7.9958E-04       1.6113E-06       1.0343E-03       2.0000E-04       2.0000E-04
       8.6500E-01       7.6899E-06       2.5487E-05       4.2644E-05       2.5758E-04       2.1714E-05       4.9092E-06       7.9959E-04       1.6016E-06       1.0343E-03       2.0000E-04       2.0000E-04
       8.7500E-01       7.6986E-06       2.5487E-05       4.3825E-05       2.5640E-04       2.1734E-05       4.9401E-06       7.9959E-04       1.5919E-06       1.0343E-03       2.0000E-04       2.0000E-04
       8.8500E-01       7.7072E-06       2.5487E-05       4.5012E-05       2.5521E-04       2.1754E-05       4.9710E-06       7.9960E-04       1.5823E-06       1.0343E-03       2.0000E-04       2.0000E-04
       8.9500E-01       7.7155E-06       2.5486E-05       4.6201E-05       2.5401E-04       2.1774E-05       5.0019E-06       7.9960E-04       1.5728E-06       1.0343E-03       2.0000E-04       2.0000E-04
       9.0500E-01       7.7237E-06       2.5486E-05       4.7394E-05       2.5282E-04       2.1795E-05       5.0330E-06       7.9961E-04       1.5633E-06       1.0343E-03       2.0000E-04       2.0000E-04
       9.1500E-01       7.7317E-06       2.5486E-05       4.8588E-05       2.5162E-04       2.1815E-05       5.0641E-06       7.9962E-04       1.5539E-06       1.0343E-03       2.0000E-04       2.0000E-04
       9.2500E-01       7.7395E-06       2.5486E-05       4.9784E-05       2.5042E-04       2.1835E-05       5.0952E-06       7.9962E-04       1.5446E-06       1.0343E-03       2.0000E-04       2.0000E-04
       9.3500E-01       7.7471E-06       2.5486E-05       5.0980E-05       2.4922E-04       2.1855E-05       5.1264E-06       7.9963E-04       1.5353E-06       1.0343E-03       2.0000E-04       2.0000E-04
       9.4500E-01       7.7546E-06       2.5486E-05       5.2175E-05       2.4803E-04       2.1875E-05       5.1577E-06       7.9963E-04       1.5260E-06       1.0343E-03       2.0000E-04       2.0000E-04
       9.5500E-01       7.7619E-06       2.5485E-05       5.3369E-05       2.4683E-04       2.1895E-05       5.1890E-06       7.9964E-04       1.5169E-06       1.0343E-03       2.0000E-04       2.0000E-04
       9.6500E-01       7.7690E-06       2.5485E-05       5.4561E-05       2.4563E-04       2.1914E-05       5.2204E-06       7.9965E-04       1.5077E-06       1.0343E-03       2.0000E-04       2.0000E-04
       9.7500E-01       7.7759E-06       2.5485E-05       5.5750E-05       2.4444E-04       2.1934E-05       5.2518E-06       7.9965E-04       1.4987E-06       1.0343E-03       2.0000E-04       2.0000E-04
       9.8500E-01       7.7827E-06       2.5485E-05       5.6936E-05       2.4325E-04       2.1954E-05       5.2833E-06       7.9966E-04       1.4897E-06       1.0343E-03       2.0000E-04       2.0000E-04
       9.9500E-01       7.7894E-06       2.5485E-05       5.8117E-05       2.4207E-04       2.1974E-05       5.3148E-06       7.9966E-04       1.4807E-06       1.0343E-03       2.0000E-04       2.0000E-04
       1.0050E+00       7.7958E-06       2.5485E-05       5.9293E-05       2.4089E-04       2.1993E-05       5.3464E-06       7.9967E-04       1.4718E-06       1.0343E-03       2.0000E-04       2.0000E-04
       1.0150E+00       7.8021E-06       2.5485E-05       6.0463E-05       2.3972E-04       2.2013E-05       5.3781E-06       7.9968E-04       1.4629E-06       1.0343E-03       2.0000E-04       2.0000E-04
       1.0250E+00       7.8082E-06       2.5485E-05       6.1627E-05       2.3855E-04       2.2032E-05       5.4098E-06       7.9968E-04       1.4542E-06       1.0343E-03       2.0000E-04       2.0000E-04
       1.0350E+00       7.8142E-06       2.5485E-05       6.2784E-05       2.3739E-04       2.2052E-05       5.4416E-06       7.9969E-04       1.4454E-06       1.0343E-03       2.0000E-04       2.0000E-04
       1.0450E+00       7.8200E-06       2.5485E-05       6.3934E-05       2.3624E-04       2.2071E-05       5.4734E-06       7.9969E-04       1.4367E-06       1.0343E-03       2.0000E-04       2.0000E-04
       1.0550E+00       7.8256E-06       2.5485E-05       6.5075E-05       2.3510E-04       2.2090E-05       5.5052E-06       7.9970E-04       1.4281E-06       1.0343E-03       2.0000E-04       2.0000E-04
       1.0650E+00       7.8311E-06       2.5485E-05       6.6207E-05       2.3396E-04       2.2109E-05       5.5372E-06       7.9970E-04       1.4195E-06       1.0343E-03       2.0000E-04       2.0000E-04
       1.0750E+00       7.8364E-06       2.5485E-05       6.7330E-05       2.3284E-04       2.2128E-05       5.5691E-06       7.9971E-04       1.4110E-06       1.0343E-03       2.0000E-04       2.0000E-04
       1.0850E+00       7.8416E-06       2.5485E-05       6.8443E-05       2.3172E-04       2.2147E-05       5.6012E-06       7.9971E-04       1.4025E-06       1.0343E-03       2.0000E-04       2.0000E-04
       1.0950E+00       7.8466E-06       2.5485E-05       6.9545E-05       2.3062E-04       2.2166E-05       5.6333E-06       7.9972E-04       1.3941E-06       1.0343E-03       2.0000E-04       2.0000E-04
       1.1050E+00       7.8515E-06       2.5485E-05       7.0637E-05       2.2952E-04       2.2185E-05       5.6654E-06       7.9972E-04       1.3857E-06       1.0343E-03       2.0000E-04       2.0000E-04
       1.1150E+00       7.8562E-06       2.5485E-05       7.1717E-05       2.2844E-04       2.2203E-05       5.6976E-06       7.9973E-04       1.3774E-06       1.0343E-03       2.0000E-04       2.0000E-04
       1.1250E+00       7.8607E-06       2.5485E-05       7.2785E-05       2.2737E-04       2.2222E-05       5.7298E-06       7.9973E-04       1.3692E-06       1.0343E-03       2.0000E-04       2.0000E-04
       1.1350E+00       7.8651E-06       2.5485E-05       7.3841E-05       2.2631E-04       2.2240E-05       5.7621E-06       7.9974E-04       1.3609E-06       1.0343E-03       2.0000E-04       2.0000E-04
       1.1450E+00       7.8693E-06       2.5485E-05       7.4885E-05       2.2527E-04       2.2258E-05       5.7944E-06       7.9974E-04       1.3528E-06       1.0343E-03       2.0000E-04       2.0000E-04
       1.1550E+00       7.8734E-06       2.5485E-05       7.5916E-05       2.2424E-04       2.2276E-05       5.8268E-06       7.9974E-04       1.3447E-06       1.0343E-03       2.0000E-04       2.0000E-04
       1.1650E+00       7.8774E-06       2.5485E-05       7.6933E-05       2.2322E-04       2.2294E-05       5.8592E-06       7.9975E-04       1.3366E-06       1.0343E-03       2.0000E-04       2.0000E-04
       1.1750E+00       7.8812E-06       2.5485E-05       7.7937E-05       2.2221E-04       2.2311E-05       5.8917E-06       7.9975E-04       1.3286E-06       1.0343E-03       2.0000E-04       2.0000E-04
       1.1850E+00       7.8848E-06       2.5486E-05       7.8927E-05       2.2122E-04       2.2329E-05       5.9243E-06       7.9976E-04       1.3206E-06       1.0343E-03       2.0000E-04       2.0000E-04
       1.1950E+00       7.8883E-06       2.5486E-05       7.9903E-05       2.2025E-04       2.2346E-05       5.9568E-06       7.9976E-04       1.3127E-06       1.0343E-03       2.0000E-04       2.0000E-04
       1.2050E+00       7.8917E-06       2.5486E-05       8.0865E-05       2.1928E-04       2.2363E-05       5.9895E-06       7.9976E-04       1.3048E-06       1.0343E-03       2.0000E-04       2.0000E-04
       1.2150E+00       7.8949E-06       2.5486E-05       8.1812E-05       2.1834E-04       2.2380E-05       6.0222E-06       7.9977E-04       1.2970E-06       1.0343E-03       2.0000E-04       2.0000E-04
       1.2250E+00       7.8980E-06       2.5486E-05       8.2745E-05       2.1740E-04       2.2397E-05       6.0549E-06       7.9977E-04       1.2892E-06       1.0343E-03       2.0000E-04       2.0000E-04
