# Time series at grid cell: 200   1   1
  Time(yrs)                  pH                     H+                     CO2(aq)                Mg++                   Ca++                  
  2.29695E-01                5.33854925192062E+00   2.36685672392696E-06   1.22716925313808E-05   1.12920221746153E-04   1.69625561413962E-04
  2.34859E-01                5.34130475304826E+00   2.40063238303899E-06   1.16308085524507E-05   1.12921030171346E-04   1.69626746144729E-04
  2.40062E-01                5.34395678994466E+00   2.43433137909259E-06   1.10170066457339E-05   1.12921840211966E-04   1.69627931987103E-04
  2.45359E-01                5.34653576670882E+00   2.46814199148693E-06   1.04236430458469E-05   1.12922668144412E-04   1.69629145635383E-04
  2.50375E-01                5.34887725356564E+00   2.49961479033848E-06   9.88871876769183E-06   1.12923448233056E-04   1.69630288062678E-04
  2.55917E-01                5.35134369676217E+00   2.53361027847500E-06   9.32913861414852E-06   1.12924326625928E-04   1.69631580827834E-04
  2.61027E-01                5.35352464864116E+00   2.56424226090360E-06   8.83855592512030E-06   1.12925124177753E-04   1.69632750609730E-04
  2.66511E-01                5.35575890293409E+00   2.59623162540359E-06   8.34001382567581E-06   1.12925996016887E-04   1.69634035295893E-04
  2.71481E-01                5.35770341628109E+00   2.62447722405967E-06   7.91000680628483E-06   1.12926775520492E-04   1.69635180608787E-04
  2.76972E-01                5.35975311085669E+00   2.65473626647586E-06   7.46044630797899E-06   1.12927655559748E-04   1.69636480395577E-04
  2.81741E-01                5.36146535828626E+00   2.68030228799986E-06   7.08829997589172E-06   1.12928404983252E-04   1.69637582693734E-04
  2.86870E-01                5.36322771372828E+00   2.70696748098786E-06   6.70828222220961E-06   1.12929229639673E-04   1.69638802025657E-04
  2.92281E-01                5.36500281837275E+00   2.73417771790319E-06   6.32874573177510E-06   1.12930100664687E-04   1.69640090526708E-04
  2.97137E-01                5.36653185824880E+00   2.75785617951790E-06   6.00466111687332E-06   1.12930873400615E-04   1.69641231180003E-04
  3.02565E-01                5.36816173486884E+00   2.78342009060986E-06   5.66190920867449E-06   1.12931755317369E-04   1.69642538859286E-04
  3.07782E-01                5.36965894692381E+00   2.80716381166220E-06   5.34971117813942E-06   1.12932595182593E-04   1.69643782214242E-04
  3.12928E-01                5.37107079735140E+00   2.82980348716596E-06   5.05765034060129E-06   1.12933427553361E-04   1.69645015886155E-04
  3.18031E-01                5.37240887507887E+00   2.85150051449053E-06   4.78295957231196E-06   1.12934255266127E-04   1.69646243602267E-04
  3.23775E-01                5.37383873817221E+00   2.87499720789262E-06   4.49163254389895E-06   1.12935197221100E-04   1.69647643967181E-04
  3.28345E-01                5.37493175508482E+00   2.89311984711153E-06   4.27067456206989E-06   1.12935929145967E-04   1.69648727553256E-04
  3.32597E-01                5.37591008049599E+00   2.90949816627690E-06   4.07411510382964E-06   1.12936620341432E-04   1.69649753851369E-04
  3.37887E-01                5.37706767954341E+00   2.92914556363474E-06   3.84288385770672E-06   1.12937497366923E-04   1.69651060921660E-04
  3.42213E-01                5.37797772945216E+00   2.94473884826066E-06   3.66229702770773E-06   1.12938196578909E-04   1.69652098598493E-04
  3.46345E-01                5.37881398154360E+00   2.95921392875902E-06   3.49724955027086E-06   1.12938873304393E-04   1.69653105351024E-04
